codigo_ibge_uf,nome_uf,sigla_uf,nome_regiao
35,São Paulo,SP,Sudeste
15,Pará,PA,Norte
32,Espírito Santo,ES,Sudeste
12,Acre,AC,Norte
13,Amazonas,AM,Norte
33,Rio de Janeiro,RJ,Sudeste
11,Rondônia,RO,Norte
31,Minas Gerais,MG,Sudeste
52,Goiás,GO,Centro-oeste
53,Distrito Federal,DF,Centro-oeste
50,Mato Grosso do Sul,MS,Centro-oeste
51,Mato Grosso,MT,Centro-oeste
27,Alagoas,AL,Nordeste
28,Sergipe,SE,Nordeste
29,Bahia,BA,Nordeste
25,Paraíba,PB,Nordeste
26,Pernambuco,PE,Nordeste
23,Ceará,CE,Nordeste
43,Rio Grande do Sul,RS,Sul
24,Rio Grande do Norte,RN,Nordeste
16,Amapá,AP,Norte
41,Paraná,PR,Sul
17,Tocantins,TO,Norte
21,Maranhão,MA,Nordeste
14,Roraima,RR,Norte
42,Santa Catarina,SC,Sul
22,Piauí,PI,Nordeste
